id,repo,source_file,bucket,wording,statement,note
ANS-01,ansible/ansible,ansible__ansible__fd125db8.md,M,verbatim,This file provides guidance to Claude Code (claude.ai/code) and other compatible agentic tools when working with code in this repository.,Provenienz-Boilerplate
ANS-02,ansible/ansible,ansible__ansible__fd125db8.md,M,verbatim,"This file is for AI assistant use only. For human developers, see the Ansible Developer Guide.",
ANS-03,ansible/ansible,ansible__ansible__fd125db8.md,M,delisted,Read this file first - Don't work from memory or assumptions,Meta-Anweisung über die Datei selbst
ANS-04,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Use TodoWrite to create a task list and track progress systematically,"⚠tool (Pi hat kein TodoWrite) · Entscheid 20.08. (G9): Arbeitsorganisation, testblind → N (Paar mit ANS-56)"
ANS-05,ansible/ansible,ansible__ansible__fd125db8.md,M,delisted,Follow the numbered steps in the relevant process sections,
ANS-06,ansible/ansible,ansible__ansible__fd125db8.md,M,delisted,Reference Quick Reference for correct commands and patterns,
ANS-07,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,ansible-core: All code must be GPLv3 compatible,"rechtlich, testblind"
ANS-08,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,lib/ansible/module_utils/: Defaults to BSD-2-Clause (more permissive),⚠grenz entschieden 20.08. (G7): reiner Lizenz-Fakt → D
ANS-09,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,External dependencies: Only recommend libraries compatible with these licenses,
ANS-10,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,PR reviews: Always verify any new dependencies or suggested libraries are license-compatible,
ANS-11,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,When in doubt: Ask about licensing compatibility rather than assuming,
ANS-12,ansible/ansible,ansible__ansible__fd125db8.md,N,verbatim,This is non-negotiable - licensing violations can create serious legal issues for the project.,
ANS-13,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`ansible-test sanity -v --docker default` — Run all sanity tests,
ANS-14,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`ansible-test sanity -v --docker default --test <test>` — Run specific sanity test,
ANS-15,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`ansible-test units -v --docker default` — Run unit tests,
ANS-16,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`ansible-test integration -v --docker fedora42` — Run integration tests,
ANS-17,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`gh pr view <number>` — Get PR details,⚠tool (kein Netz/gh im Container)
ANS-18,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`gh pr view <number> --comments` — Check for ansibot CI failures,⚠tool
ANS-19,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`gh pr checks <number>` — Get Azure Pipelines URLs,⚠tool
ANS-20,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`gh pr checkout <number>` — Switch to PR branch,⚠tool
ANS-21,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`gh pr diff <number>` — See all changes,⚠tool
ANS-22,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,Sanity/Unit tests: `--docker default`,
