# Zuordnung Quellzeile -> Bucket  (statisches Artefakt, eingefroren nach Review 21.08.)
# Quelle: OpShin__opshin__62dba6b1.md · Buckets: P D N M X PARTS · Auto-Zeilen (blank/heading/fence) fehlen bewusst.
1	PARTS	D:OPS-01 P:OPS-02	This repository contains code for a language transpiler of smart contracts. It is therefore extremely important to write code that generalizes well and to *not* hardcode specific edge cases.
4	P	OPS-03	- First write tests that reflect diversely how the language is supposed to work and how not.
5	PARTS	D:OPS-05 P:OPS-04 P:OPS-06	- Check out other tests for language features (esp. test_misc.py) to see how tests are written. They define a program, compile it and then test its behavior against expectations, usually using property based tests. It is fine to start with a fixed example which gives faster feedback (PBT tend to time out when the behavior is violated, feel free to abort test generation)
6	PARTS	D:OPS-07 P:OPS-08	- The entire test suite takes > 20 minutes to execute. Only run it at the end, prefer individual relevant tests before.
9	X	Strukturzeile (Lead-in), unkodiert — symmetrisch zu Z. 14	For language features
10	P	OPS-09	- Make sure to familiarize yourself with the way the visitor pattern is used for basically everything in the repo.
11	D	OPS-10	- There are three main steps for the compiler: normalization and optimization (in many individual steps in rewrite/ and optimize/), type inference (in type_inference.py) and transpilation (in compiler.py)
12	PARTS	D:OPS-12 P:OPS-11	- If you rewrite a feature into existing features, make sure that the existing features are actually supported already. For example, lambda expressions are not supported yet.
14	X	Strukturzeile (Lead-in), unkodiert	For standard library tooling
15	PARTS	D:OPS-13 P:OPS-14	- All code in std/ and ledger/ is meant to be interpreted by the opshin compiler. Add code there if it is supposed to extend the standard library of the language
17	D	OPS-15	Documentation is autogenerated from function comments.
18	X	leerer Bullet in der Quelle	- 
