# Zuordnung Quellzeile -> Bucket  (statisches Artefakt, eingefroren nach Review 21.08.)
# Quelle: qodo-ai__pr-agent__81e7a689.md · Buckets: P D N M X PARTS · Auto-Zeilen (blank/heading/fence) fehlen bewusst.
5	P	PRA-01	- **Do** match the interpreter requirement declared in `pyproject.toml` (Python ≥ 3.12) and install `requirements.txt` plus `requirements-dev.txt` before running tools.
6	P	PRA-02	- **Do** run tests with `PYTHONPATH=.` set to keep imports functional (for example `PYTHONPATH=. ./.venv/bin/pytest tests/unittest/test_fix_json_escape_char.py -q`).
7	P	PRA-03	- **Do** adjust configuration through `.pr_agent.toml` or files under `pr_agent/settings/` instead of hard-coding values.
8	N	PRA-04	- **Don’t** commit secrets or access tokens; rely on environment variables as shown in the health and e2e tests.
9	P	PRA-05	- **Don’t** reformat or reorder files globally; match existing 120-character lines, import ordering, and docstring style.
10	N	PRA-06	- **Don’t** delete or rename configuration, prompt, or workflow files without maintainer approval.
14	D	PRA-07	PR-Agent automates AI-assisted reviews for pull requests across multiple git providers.
16	D	PRA-08	- `pr_agent/agent/` orchestrates commands (`review`, `describe`, `improve`, etc.) via `pr_agent/agent/pr_agent.py`.
17	D	PRA-09	- `pr_agent/tools/` implements individual capabilities such as reviewers, code suggestions, docs updates, and label generation.
18	D	PRA-10	- `pr_agent/git_providers/` and `pr_agent/identity_providers/` handle integrations with GitHub, GitLab, Bitbucket, Azure DevOps, and secrets.
19	D	PRA-11	- `pr_agent/settings/` stores Dynaconf defaults (prompts, configuration templates, ignore lists) respected at runtime; `.pr_agent.toml` overrides repository-level behavior.
20	D	PRA-12	- `tests/unittest/`, `tests/e2e_tests/`, and `tests/health_test/` contain pytest-based unit, end-to-end, and smoke checks.
21	D	PRA-13	- `docs/` holds the MkDocs site (`docs/mkdocs.yml` plus content under `docs/docs/`); overrides live in `docs/overrides/`.
22	D	PRA-14	- `.github/workflows/` defines CI pipelines for unit tests, coverage, docs deployment, pre-commit, and PR-agent self-review.
23	D	PRA-15	- `docker/` and the root Dockerfiles provide build targets for services (`github_app`, `gitlab_webhook`, etc.) and the `test` stage used in CI.
27	P	PRA-16	- Create or activate a virtual environment, then install runtime dependencies with `pip install -r requirements.txt`; add development tooling via `pip install -r requirements-dev.txt`.
28	P	PRA-17	- Run a single unit test (verified): `PYTHONPATH=. ./.venv/bin/pytest tests/unittest/test_fix_json_escape_char.py -q`.
29	P	PRA-18	- Run the full unit suite: `PYTHONPATH=. ./.venv/bin/pytest tests/unittest -v`.
30	P	PRA-19	- Execute the CLI locally once dependencies and API keys are available: `python -m pr_agent.cli --pr_url <https://host/org/repo/pull/123> review`.
31	P	PRA-20	- Build the test Docker target mirror of CI when containerizing: `docker build -f docker/Dockerfile --target test .` (loads dev dependencies and copies `tests/`).
32	P	PRA-21	- Generate and deploy documentation with MkDocs after installing the same extras as CI (`mkdocs-material`, `mkdocs-glightbox`): `mkdocs serve -f docs/mkdocs.yml` for previews and `mkdocs gh-deploy -f docs/mkdocs.yml` for publication.
36	N	PRA-22	- Python sources follow the Ruff configuration in `pyproject.toml` (`line-length = 120`, Pyflakes plus `flake8-bugbear` checks, and isort ordering). Keep imports grouped as isort would produce and prefer double quotes for strings.
37	PARTS	N:PRA-23 P:PRA-24	- Pre-commit (`.pre-commit-config.yaml`) enforces trailing whitespace cleanup, final newlines, TOML/YAML validity, and optional `isort`; run `pre-commit run --all-files` before submitting patches if installed.
38	N	PRA-25	- Match existing docstring and comment style—concise English comments using imperative phrasing only where necessary.
39	PARTS	D:PRA-26b N:PRA-26	- Configuration files in `pr_agent/settings/` are TOML; preserve formatting, section order, and comments when editing prompts or defaults.
40	N	PRA-27	- Markdown in `docs/` uses MkDocs conventions (YAML front matter absent; rely on heading hierarchy already in place).
