# Zuordnung Quellzeile -> Bucket  (statisches Artefakt, eingefroren nach Review 21.08.)
# Quelle: ansible__ansible__fd125db8.md · Buckets: P D N M X PARTS · Auto-Zeilen (blank/heading/fence) fehlen bewusst.
3	M	ANS-01	This file provides guidance to Claude Code (claude.ai/code) and other compatible agentic tools when working with code in this repository.
5	M	ANS-02	**Note:** This file is for AI assistant use only. For human developers, see the [Ansible Developer Guide](https://docs.ansible.com/ansible-core/devel/dev_guide/index.html).
9	X	Strukturzeile (Lead-in), unkodiert	**BEFORE starting any PR review or development task:**
11	M	ANS-03	1. **Read this file first** - Don't work from memory or assumptions
12	N	ANS-04	2. **Use TodoWrite** to create a task list and track progress systematically
13	M	ANS-05	3. **Follow the numbered steps** in the relevant process sections
14	M	ANS-06	4. **Reference Quick Reference** for correct commands and patterns
18	X	Strukturzeile (Lead-in), unkodiert	**NEVER suggest, recommend, or approve code that violates these requirements:**
20	N	ANS-07	- **ansible-core**: All code must be **GPLv3 compatible**
21	D	ANS-08	- **lib/ansible/module_utils/**: Defaults to **BSD-2-Clause** (more permissive)
22	N	ANS-09	- **External dependencies**: Only recommend libraries compatible with these licenses
23	N	ANS-10	- **PR reviews**: Always verify any new dependencies or suggested libraries are license-compatible
24	N	ANS-11	- **When in doubt**: Ask about licensing compatibility rather than assuming
26	N	ANS-12	**This is non-negotiable** - licensing violations can create serious legal issues for the project.
30	X	Strukturzeile (Lead-in), unkodiert	Most commonly used commands and patterns:
33	P	wie-ANS-13	# Testing
34	P	ANS-13	ansible-test sanity -v --docker default                    # Run all sanity tests
35	P	ANS-13,ANS-14	ansible-test sanity -v --docker default --test <test>     # Run specific sanity test
36	P	ANS-15	ansible-test units -v --docker default                    # Run unit tests
37	P	ANS-16	ansible-test integration -v --docker fedora42             # Run integration tests
39	P	wie-ANS-17	# PR Review and CI
40	P	ANS-17	gh pr view <number>                                        # Get PR details
41	P	ANS-17,ANS-18	gh pr view <number> --comments                           # Check for ansibot CI failures
42	P	ANS-19	gh pr checks <number>                                     # Get Azure Pipelines URLs
43	P	ANS-20	gh pr checkout <number>                                   # Switch to PR branch
44	P	ANS-21	gh pr diff <number>                                       # See all changes
47	X	Strukturzeile (Lead-in), unkodiert	**Container Selection:**
49	P	ANS-22	- Sanity/Unit tests: `--docker default`
