# Zuordnung Quellzeile -> Bucket  (statisches Artefakt, eingefroren nach Review 21.08.)
# Quelle: jlowin__fastmcp__e7202ff0.md · Buckets: P D N M X PARTS · Auto-Zeilen (blank/heading/fence) fehlen bewusst.
3	M	FMC-01	> **Audience**: LLM-driven engineering agents and human developers
5	D	FMC-02	FastMCP is a comprehensive Python framework (Python ≥3.10) for building Model Context Protocol (MCP) servers and clients. This is the actively maintained v2.0 providing a complete toolkit for the MCP ecosystem.
9	P	FMC-03	**CRITICAL**: Always run these commands in sequence before committing:
12	P	FMC-03 (uv sync im Kern-Workflow)	uv sync                              # Install dependencies
13	P	FMC-03	uv run prek run --all-files          # Ruff + Prettier + ty
14	P	FMC-03	uv run pytest -n auto                # Run full test suite
17	PARTS	D:FMC-04 P:FMC-05	**All three must pass** - this is enforced by CI. Alternative: `just build && just typecheck && just test`
19	N	FMC-06	**Tests must pass and lint/typing must be clean before committing.**
21	N	FMC-07	**Before creating a PR**, evaluate whether documentation needs updating:
22	N	FMC-07	- New features or APIs require corresponding docs
23	N	FMC-07	- Changed behavior should be reflected in existing docs
24	N	FMC-07	- Check `docs/` for affected pages
28	D	FMC-08	| Path               | Purpose                                                                             |
29	D	FMC-08	| ------------------ | ----------------------------------------------------------------------------------- |
30	D	FMC-08	| `src/fastmcp/`     | Library source code (Python ≥ 3.10)                                                 |
31	D	FMC-08	| `├─server/`        | Server implementation, `FastMCP`, auth, networking                                  |
32	D	FMC-08	| `│  ├─auth/`       | Authentication providers (Google, GitHub, Azure, AWS, WorkOS, Auth0, JWT, and more) |
33	D	FMC-08	| `│  └─middleware/` | Error handling, logging, rate limiting                                              |
34	D	FMC-08	| `├─client/`        | High-level client SDK + transports                                                  |
35	D	FMC-08	| `│  └─auth/`       | Client authentication (Bearer, OAuth)                                               |
36	D	FMC-08	| `├─tools/`         | Tool implementations + `ToolManager`                                                |
37	D	FMC-08	| `├─resources/`     | Resources, templates + `ResourceManager`                                            |
38	D	FMC-08	| `├─prompts/`       | Prompt templates + `PromptManager`                                                  |
39	D	FMC-08	| `├─cli/`           | FastMCP CLI commands (`run`, `dev`, `install`)                                      |
40	D	FMC-08	| `├─contrib/`       | Community contributions (bulk caller, mixins)                                       |
41	D	FMC-08	| `├─experimental/`  | Experimental features (sampling handlers)                                           |
42	D	FMC-08	| `└─utilities/`     | Shared utilities (logging, JSON schema, HTTP)                                       |
43	D	FMC-08	| `tests/`           | Comprehensive pytest suite with markers                                             |
44	D	FMC-08	| `docs/`            | Mintlify documentation (published to gofastmcp.com)                                 |
45	D	FMC-08	| `examples/`        | Runnable demo servers (echo, smart_home, atproto)                                   |
49	P	FMC-09	When modifying MCP functionality, changes typically need to be applied across all object types:
51	P	FMC-09	- **Tools** (`src/tools/` + `ToolManager`)
52	P	FMC-09	- **Resources** (`src/resources/` + `ResourceManager`)
53	P	FMC-09	- **Resource Templates** (`src/resources/` + `ResourceManager`)
54	P	FMC-09	- **Prompts** (`src/prompts/` + `PromptManager`)
58	N	FMC-10	- Be brief and to the point. Do not regurgitate information that can easily be gleaned from the code, except to guide the reader to where the code is located.
59	N	FMC-11	- **NEVER** use "This isn't..." or "not just..." constructions. State what something IS directly. Avoid defensive writing patterns like:
60	N	FMC-11	  - "This isn't X, it's Y" or "Not just X, but Y" → Just say "This is Y"
61	N	FMC-11	  - "Not just about X" → State the actual purpose
62	N	FMC-11	  - "We're not doing X, we're doing Y" → Just explain what you're doing
63	N	FMC-11	  - Any variation of explaining what something isn't before what it is
69	N	FMC-12	- Every test: atomic, self-contained, single functionality
70	N	FMC-13	- Use parameterization for multiple examples of same functionality
71	N	FMC-14	- Use separate tests for different functionality pieces
72	N	FMC-15	- **ALWAYS** Put imports at the top of the file, not in the test body
73	P	FMC-16	- **NEVER** add `@pytest.mark.asyncio` to tests - `asyncio_mode = "auto"` is set globally
74	P	FMC-17	- **ALWAYS** run pytest after significant changes
